priority,domain,pattern,note
10,protective_service,"\b(police|sheriff|firefighter|fire fighter|correction|detective|patrol officer|deputy|marshal|public safety|sworn)\b","sworn public safety"
11,protective_service,"\b(fire (captain|lieutenant|battalion|chief|marshal|paramedic)|police (officer|captain|sergeant|lieutenant|commander))\b","ranked police/fire"
12,protective_service,"\b(fire engineer|battalion chief|fire medic|fire suppression|firefighter|fire fighter)\b","fire-service titles that contain 'engineer'/'chief' (must precede engineering/management)"
20,legal,"\b(attorney|lawyer|counsel|paralegal|public defender|district attorney|magistrate|judge)\b","legal"
30,software_it,"\b(software|developer|programmer|data scientist|data analyst|database|systems analyst|network engineer|information technology|information systems|cyber|web develop|applications develop|devops|gis|help desk|computer)\b","tech/IT"
40,skilled_trades,"\b(operating engineer|stationary engineer|building engineer|chief stationary)\b","trade-titled 'engineers' (must precede engineering)"
41,engineering,"\b(engineer|engineering|architect)\b","professional engineers/architects"
50,finance,"\b(accountant|accounting|auditor|finance|financial|budget analyst|treasurer|comptroller|controller|actuary|economist|fiscal)\b","finance/accounting"
60,healthcare,"\b(nurse|physician|medical|psychologist|therapist|pharmacist|dentist|epidemiolog|clinician|\brn\b|health care|healthcare)\b","health practitioners"
70,management,"\b(manager|director|administrator|chief|commissioner|superintendent|executive|deputy mayor|bureau head)\b","management"
80,education,"\b(teacher|professor|instructor|lecturer|librarian|education)\b","education instruction"
90,skilled_trades,"\b(electrician|plumber|carpenter|mechanic|machinist|laborer|maintenance|custodian|sanitation|welder|painter|gardener|tree trimmer|steamfitter|ironworker|mason|roofer|hvac|equipment operator|locksmith|glazier)\b","skilled trades"
100,admin_clerical,"\b(clerk|secretary|assistant|aide|specialist|coordinator|analyst|representative|technician|examiner|inspector|officer)\b","office & admin (catch-all)"
