# Data-center restriction & condition actions — snapshot 2026-08-15. License CC-BY-4.0. Includes data from Moratorium Nation (ALEA Institute, https://mjbommar.github.io/moratorium-data-2026/, CC-BY-4.0) and datacentertracker.org (CC BY 4.0). Documented actions, not a census.
id,dataset,level,state,state_fips,jurisdiction,jurisdiction_type,action_type,class,status,date,mw_threshold,lat,lon,geocode,county_fips,county_name,county_wide,summary,source_name,source_url,note
az-incentive-pause-2026,curated_state,state,AZ,04,Arizona (statewide),state,incentive_rollback,condition,in_force,2026-07-01,,,,none,,,,"Three-year pause: the Arizona Commerce Authority may not accept applications for, or grant tax relief to, any new computer data center from July 1, 2026 through June 30, 2029. Existing certificates unaffected, and the provision self-repeals July 1, 2029. The Governor's office estimates about $57M in savings over the window (an administration estimate, not a formal fiscal note). ACA received 113 applications in the final two weeks before the window closed","Arizona Legislature, SB 1861/HB 4168 as-enacted fact sheet",https://www.azleg.gov/legtext/57leg/2R/summary/S.1861-4168ATT_ASENACTED.DOCX.htm,"Instrument: HB 4168 / SB 1861 (Laws 2026, Ch. 140)"
fl-sb484-2026,curated_state,state,FL,12,Florida (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,SB 484 (enacted 2026): large-load tariff and cost-allocation law for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: SB 484
ga-sb410-2026,curated_state,state,GA,13,Georgia (statewide),state,incentive_rollback,condition,pending,2026-02-12,,,,none,,,,"SB 410 would end the sales-tax exemption for future data centers; passed the Senate in February 2026, not enacted",NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: SB 410
id-hb911-2026,curated_state,state,ID,16,Idaho (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,HB 911 (enacted 2026): large-load tariff and cost-allocation law for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: HB 911
il-incentive-pause-2026,curated_state,state,IL,17,Illinois (statewide),state,incentive_rollback,condition,in_force,2026-06-05,,,,none,,,,"DCEO stopped accepting or processing new Data Center Investment Program applications as of July 1, 2026, per the Governor's June 5, 2026 directive. Existing agreements honored. No stated end date, pending legislative action","Office of Governor JB Pritzker, June 5, 2026 release",https://gov-pritzker-newsroom.prezly.com/gov-pritzker-pauses-new-data-center-tax-incentives,Instrument: Executive directive (Governor Pritzker to DCEO)
in-hb1210-2026,curated_state,state,IN,18,Indiana (statewide),state,tax_action,condition,enacted,2026-03-12,,,,none,,,,"HB 1210 (signed March 12, 2026): recipients of the data center exemption must share 1% of exemption savings with local governments",NCSL May 2026 deck / ArentFox Schiff (per research corpus),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: HB 1210
md-sb937-2025,curated_state,state,MD,24,Maryland (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,SB 937 (enacted 2025): large-load ratepayer-protection law for data centers,NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: SB 937
me-ld307-2026,curated_state,state,ME,23,Maine (statewide),state,moratorium,restriction,vetoed,2026-04-24,20,,,none,,,,"LD 307 would have paused 20 MW+ data centers through late 2027; passed the legislature, vetoed by Governor Mills, override failed 72-65",Maine Morning Star,https://mainemorningstar.com/2026/04/29/despite-initial-support-legislature-fails-to-override-mills-veto-of-landmark-data-center-ban/,Instrument: LD 307
mn-hf16-2025,curated_state,state,MN,27,Minnesota (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,"HF 16 (enacted 2025): very-large-customer rate class due by December 15, 2026, plus a water-use preapplication review for facilities over 100M gallons/yr",NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: HF 16
ne-lb1010-2026,curated_state,state,NE,31,Nebraska (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,LB 1010 (enacted 2026): energy and water reporting requirements for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: LB 1010
nj-a796-2026,curated_state,state,NJ,34,New Jersey (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,A796 (enacted 2026): large-load tariff and cost-allocation law for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: A796
ny-eo62-2026,curated_state,state,NY,36,New York (statewide),state,executive_order,restriction,in_force,2026-07-14,50,,,none,,,,Executive Order 62 pauses discretionary environmental permit review for data centers of 50 MW and up while a statewide impact statement is prepared,Governor of New York,https://www.governor.ny.gov/executive-order/no-62-establishing-temporary-moratorium-data-centers-new-york-while-state-develops,Instrument: Executive Order 62
oh-incentive-pause-2026,curated_state,state,OH,39,Ohio (statewide),state,incentive_rollback,condition,in_force,2026-05-27,,,,none,,,,"The Tax Credit Authority stopped accepting new data center sales-and-use tax exemption proposals after its June 1, 2026 meeting, at Governor DeWine's direction, pending the Joint Data Center Committee's study. Existing exemptions unaffected","Office of Governor Mike DeWine, May 27, 2026 release",https://governor.ohio.gov/media/news-and-media/governor-dewine-announces-pause-of-data-center-tax-exemption,Instrument: Executive directive (Governor DeWine to the Ohio Tax Credit Authority)
ok-hb2992-2026,curated_state,state,OK,40,Oklahoma (statewide),state,ratepayer_law,condition,enacted,,,,,none,,,,HB 2992 (enacted 2026): large-load tariff and cost-allocation law for data centers,Clean Energy Group 2026 inventory (NCSL deck corroborates),https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Instrument: HB 2992
or-hb3546-2025,curated_state,state,OR,41,Oregon (statewide),state,ratepayer_law,condition,enacted,,20,,,none,,,,POWER Act (enacted June 2025): separate rate class for 20 MW+ loads with 10-year take-or-pay power agreements; implemented through PGE Schedule 96,NCSL May 2026 deck (Montana Legislature mirror),https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,Instrument: HB 3546 (POWER Act)
