state,action_id,action_type,class,instrument,status,date,mw_threshold,summary,source_url,source_name
TX,tx-sb6-2025,ratepayer_law,condition,SB 6,enacted,2025-06-20,75,"SB 6: 75 MW+ ERCOT loads accept mandatory emergency curtailment with 24-hour notice, pay interconnection study fees, and disclose behind-the-meter generation",https://www.mcguirewoods.com/client-resources/alerts/2025/7/texas-senate-bill-6-significantly-expands-regulatory-oversight-over-large-loads-in-ercot/,McGuireWoods client alert
OR,or-hb3546-2025,ratepayer_law,condition,HB 3546 (POWER Act),enacted,,20,POWER Act (enacted June 2025): separate rate class for 20 MW+ loads with 10-year take-or-pay power agreements; implemented through PGE Schedule 96,https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
MN,mn-hf16-2025,ratepayer_law,condition,HF 16,enacted,,,"HF 16 (enacted 2025): very-large-customer rate class due by December 15, 2026, plus a water-use preapplication review for facilities over 100M gallons/yr",https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
MD,md-sb937-2025,ratepayer_law,condition,SB 937,enacted,,,SB 937 (enacted 2025): large-load ratepayer-protection law for data centers,https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
UT,ut-sb132-2025,ratepayer_law,condition,SB 132,enacted,,,SB 132 (enacted 2025): large-load tariff and cost-allocation law for data centers,https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
SC,sc-rate-law-2025,ratepayer_law,condition,"H.3309, Energy Security Act (Act No. 41 of 2025)",enacted,2025-05-12,,"Authorizes (does not require) utilities to negotiate economic-development rates for large loads, with a marginal-cost floor and PSC just-and-reasonable review. The Senate's data-center PPA mandate was stripped before passage",https://www.scstatehouse.gov/sess126_2025-2026/bills/3309.htm,"South Carolina Legislature, H.3309 (Act No. 41 of 2025)"
ID,id-hb911-2026,ratepayer_law,condition,HB 911,enacted,,,HB 911 (enacted 2026): large-load tariff and cost-allocation law for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
FL,fl-sb484-2026,ratepayer_law,condition,SB 484,enacted,,,SB 484 (enacted 2026): large-load tariff and cost-allocation law for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
TN,tn-hb1847-2026,ratepayer_law,condition,HB 1847,enacted,,,HB 1847 (enacted 2026): large-load tariff and cost-allocation law for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
OK,ok-hb2992-2026,ratepayer_law,condition,HB 2992,enacted,,,HB 2992 (enacted 2026): large-load tariff and cost-allocation law for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
SD,sd-sb135-2026,ratepayer_law,condition,SB 135,enacted,,,SB 135 (enacted 2026): large-load law that also protects local siting authority over data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
NJ,nj-a796-2026,ratepayer_law,condition,A796,enacted,,,A796 (enacted 2026): large-load tariff and cost-allocation law for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
NE,ne-lb1010-2026,ratepayer_law,condition,LB 1010,enacted,,,LB 1010 (enacted 2026): energy and water reporting requirements for data centers,https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
VA,va-hb284-2026,ratepayer_law,condition,HB 284,enacted,,,"HB 284 (enacted 2026): large-load ratepayer law, one of 15 data-center bills Virginia passed in the 2026 session",https://www.cleanegroup.org/states-are-stepping-up-to-protect-households-from-rising-energy-bills-due-to-data-centers/,Clean Energy Group 2026 inventory (NCSL deck corroborates)
VA,va-consumption-tax-2026,tax_action,condition,2026 budget (HB 30),enacted,2026-06-30,,"First-in-nation $0.011/kWh data center electricity consumption tax, capped at $600M/yr with pro-rata refunds, effective July 1, 2026, expires June 30, 2028; the sales-tax exemption was preserved",https://www.williamsmullen.com/insights/news/legal-news/virginia-budget-creates-new-electricity-consumption-tax-data-centers,Williams Mullen client alert
WA,wa-sb6231-2026,incentive_rollback,condition,SB 6231,enacted,,,SB 6231 (enacted 2026): narrows the data center tax exemption to refurbished facilities only,https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
IN,in-hb1210-2026,tax_action,condition,HB 1210,enacted,2026-03-12,,"HB 1210 (signed March 12, 2026): recipients of the data center exemption must share 1% of exemption savings with local governments",https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck / ArentFox Schiff (per research corpus)
GA,ga-sb410-2026,incentive_rollback,condition,SB 410,pending,2026-02-12,,"SB 410 would end the sales-tax exemption for future data centers; passed the Senate in February 2026, not enacted",https://static.legmt.gov/Divisions/LFD/Committees/MARA/NCSL-Data-Centers-Legislative-Trends-May2026.pdf,NCSL May 2026 deck (Montana Legislature mirror)
AZ,az-incentive-pause-2026,incentive_rollback,condition,"HB 4168 / SB 1861 (Laws 2026, Ch. 140)",in_force,2026-07-01,,"Three-year pause: the Arizona Commerce Authority may not accept applications for, or grant tax relief to, any new computer data center from July 1, 2026 through June 30, 2029. Existing certificates unaffected, and the provision self-repeals July 1, 2029. The Governor's office estimates about $57M in savings over the window (an administration estimate, not a formal fiscal note). ACA received 113 applications in the final two weeks before the window closed",https://www.azleg.gov/legtext/57leg/2R/summary/S.1861-4168ATT_ASENACTED.DOCX.htm,"Arizona Legislature, SB 1861/HB 4168 as-enacted fact sheet"
IL,il-incentive-pause-2026,incentive_rollback,condition,Executive directive (Governor Pritzker to DCEO),in_force,2026-06-05,,"DCEO stopped accepting or processing new Data Center Investment Program applications as of July 1, 2026, per the Governor's June 5, 2026 directive. Existing agreements honored. No stated end date, pending legislative action",https://gov-pritzker-newsroom.prezly.com/gov-pritzker-pauses-new-data-center-tax-incentives,"Office of Governor JB Pritzker, June 5, 2026 release"
OH,oh-incentive-pause-2026,incentive_rollback,condition,Executive directive (Governor DeWine to the Ohio Tax Credit Authority),in_force,2026-05-27,,"The Tax Credit Authority stopped accepting new data center sales-and-use tax exemption proposals after its June 1, 2026 meeting, at Governor DeWine's direction, pending the Joint Data Center Committee's study. Existing exemptions unaffected",https://governor.ohio.gov/media/news-and-media/governor-dewine-announces-pause-of-data-center-tax-exemption,"Office of Governor Mike DeWine, May 27, 2026 release"
NY,ny-eo62-2026,executive_order,restriction,Executive Order 62,in_force,2026-07-14,50,Executive Order 62 pauses discretionary environmental permit review for data centers of 50 MW and up while a statewide impact statement is prepared,https://www.governor.ny.gov/executive-order/no-62-establishing-temporary-moratorium-data-centers-new-york-while-state-develops,Governor of New York
ME,me-ld307-2026,moratorium,restriction,LD 307,vetoed,2026-04-24,20,"LD 307 would have paused 20 MW+ data centers through late 2027; passed the legislature, vetoed by Governor Mills, override failed 72-65",https://mainemorningstar.com/2026/04/29/despite-initial-support-legislature-fails-to-override-mills-veto-of-landmark-data-center-ban/,Maine Morning Star
WV,wv-hb2014-2025,preemption,preemption,HB 2014,enacted,2025-04-30,,HB 2014 preempts local regulation of data centers and creates microgrid districts insulated from ratepayer grids,https://www.multistate.us/insider/2026/1/15/state-data-center-legislation-faces-local-zoning-battles,MultiState
