# Blocked data-center project outcome trace — snapshot 2026-08-19. License CC-BY-4.0. Compiled from local press and government records, one or more sources per project (sources column, name|url pairs joined by semicolons). followup_* columns mark the softest tier: same developer, nearby build, not confirmed as the same project. Corrections: joe@group17a.com. Documented statuses, not a census.
id,name,developer,jurisdiction,state,lat,lon,claimed_capex_usd_b,capex_label,mw,decision_date,outcome,destination_name,destination_lat,destination_lon,destination_same_metro,followup_name,followup_lat,followup_lon,followup_same_metro,followup_note,followup_sources,months_lost,confidence,note,sources
pw-digital-gateway,Prince William Digital Gateway,QTS + Compass (Blackstone-backed),"Prince William County, VA",VA,38.83,-77.56,24.7,county-estimate,,2025-08-07,died,,,,,,,,,,,,high,"The Dec 2023 rezoning for the would-be world's largest data center campus was voided by the circuit court over defective public notice, the Court of Appeals affirmed March 31, 2026, and QTS withdrew its Virginia Supreme Court petitions on July 2, 2026, ending the project. The $24.7B figure is the county finance office's investment estimate; no relocation of the campus has been documented.","WTOP (project dies, Jul 2026)|https://wtop.com/prince-william-county/2026/07/digital-gateway-data-center-project-dies-after-final-developer-withdraws-appeal/;Potomac Local (QTS withdraws appeal)|https://www.potomaclocal.com/2026/07/03/qts-withdraws-supreme-court-appeal-ending-proposed-digital-gateway-data-center-project/;WTOP (circuit court voids rezoning, Aug 2025)|https://wtop.com/prince-william-county/2025/08/judge-voids-digital-gateway-rezoning-in-prince-william-county/;Virginia Business (appeals court affirms)|https://virginiabusiness.com/virginia-appeals-court-upholds-block-on-prince-william-digital-gateway-project/"
king-george-amazon,King George County Amazon campus,Amazon,"King George County, VA",VA,38.27,-77.18,6,developer-announced,,2024-01-02,pending_litigating,,,,,,,,,,,,high,"A new anti-data-center board voted Jan 2, 2024 to walk back the performance agreement signed weeks earlier. The dispute is pending in King George Circuit Court with trial rescheduled for September 2026, and a 7.5-hour June 2026 board meeting ended without a decision. Amazon is meanwhile building in four neighboring Fredericksburg-region counties, but those campuses were announced in 2023 under the same state framework that included King George, before the January 2024 vote, and Amazon is still pursuing the King George site in court, so no relocation of this project is coded.",Fredericksburg Free Lance-Star (board votes to renegotiate)|https://fredericksburg.com/news/local/new-king-george-board-wants-to-renegotiate-amazon-deal/article_02279da2-ab3c-11ee-a2e2-af1512472c9e.html;Bisnow ($6B campus setback)|https://www.bisnow.com/national/news/data-center/virginia-county-backtracks-on-agreement-with-amazon-for-6b-data-center-campus-122327;DCD (still no decision after marathon meeting)|https://www.datacenterdynamics.com/en/news/still-no-decision-on-amazon-data-center-proposal-in-virginias-king-george-county/;GovTech (circuit court case pending)|https://www.govtech.com/artificial-intelligence/virginia-court-case-could-influence-other-data-center-fights
warrenton-amazon,Warrenton Amazon data center,Amazon,"Warrenton (Fauquier County), VA",VA,38.7135,-77.7953,,,,2025-07-08,pending_litigating,,,,,,,,,,,,high,"The special use permit approved Feb 2023 remains unbuilt: a citizens' lawsuit went to trial in March 2026 with final arguments June 15, 2026 and no ruling on the permit's validity as of early August 2026 (an Aug 2026 procedural ruling only denied the citizens' group's bid to join a related case), the town found in 2025 that Amazon lacks vested rights (appeal parked at the BZA Feb 3, 2026), and the council voted 6-0 on July 8, 2025 to strip data centers from its zoning ordinance. The town's own attorney now argues alongside the plaintiffs.","FauquierNow (council removes data centers from zoning, Jul 8 2025)|https://www.fauquiernow.com/news/warrenton-town-council-pushes-back-against-data-centers-amends-zoning-ordinance/article_67ce814a-e880-4c95-8099-bac067988a25.html;Prince William Times (trial and pending ruling)|https://www.princewilliamtimes.com/news/citizens-group-town-of-warrenton-head-to-court-again-over-towns-1-approved-data-center/article_45c580d9-7d32-5624-9d2f-954a5d36539c.html;Fauquier Times (BZA pauses vested-rights appeal)|https://www.fauquier.com/localnews/warrenton-board-of-zoning-appeals-defers-action-on-amazon-appeal/article_3873160f-4e91-430e-afd6-d9941c20946a.html"
culpeper-brandy-station,Brandy Station campus (Culpeper Acquisitions),Culpeper Acquisitions,"Culpeper County, VA",VA,38.5068,-77.8936,12,developer-announced,,2024-06-12,pending_litigating,,,,,,,,,,,,medium,"The planning commission unanimously recommended denial of the 426-acre, 4.6M sq ft rezoning on June 12, 2024, and the board of supervisors vote has been deferred at the applicant's request ever since. No final board action, withdrawal, or relocation has been reported as of August 2026; the pending status rests partly on the absence of subsequent coverage.",DCD (planners recommend denial)|https://www.datacenterdynamics.com/en/news/county-planners-recommend-denial-of-brandy-station-data-center-campus-in-culpeper-county/;Piedmont Environmental Council (proposal background)|https://www.pecva.org/region/culpeper/new-data-center-proposals-in-brandy-station-and-near-the-town-of-culpeper/;Daily Progress (commission rejects rezoning)|https://dailyprogress.com/news/state-regional/planning-commission-rejects-rezoning-for-brandy-station-data-centers/article_e17cf5f5-c95b-57b7-8be8-d058ae2280c3.html
loudoun-active-infrastructure,Active Infrastructure campus (780MW),Active Infrastructure,"Loudoun County, VA",VA,39.04,-77.57,,,780,2026-07-23,pending_litigating,,,,,,,,,,,,high,"The Planning Commission voted unanimously on July 23, 2026 to recommend denial of the 780MW, 3.25M sq ft Spring Valley Technology Park rezoning on Evergreen Mills Road, but the final Board of Supervisors decision is still pending. The county is simultaneously drafting options, due September 15, 2026, for a moratorium on all new data center applications.",Loudoun Now|https://www.loudounnow.com/news/loudoun-planning-commission-rejects-3m-square-foot-data-center-campus/article_35f01dc9-af58-4afb-a364-e93b96b50e43.html;Data Center Dynamics|https://www.datacenterdynamics.com/en/news/loudoun-county-considering-moratorium-on-new-data-center-applications-rejects-325-million-sq-ft-campus/;MLQ News|https://mlq.ai/news/loudoun-county-moves-toward-data-center-moratorium-rejects-780mw-active-infrastructure-campus/;Virginia Mercury|https://virginiamercury.com/2026/07/30/loudoun-county-other-virginia-localities-consider-hitting-the-brakes-on-data-center-development/
culpeper-stevensburg,Stevensburg Amazon rezoning,Amazon,"Culpeper County, VA",VA,38.46,-77.9,0.5,developer-announced,,2022-05-10,delayed_then_built,,,,,,,,,,,,high,"Supervisors approved the 243-acre rezoning 4-3 in April 2022 over a planning commission recommendation to deny; neighboring landowners sued in May 2022 alleging illegal spot zoning but the suit did not stop the project. The two-building, 427,000 sq ft campus was built on the same site and is reported fully operational, with local hiring underway by fall 2024.",Bisnow|https://www.bisnow.com/national/news/data-center/proposed-data-center-development-prompts-lawsuit-in-northern-virginia-112941;The Register|https://www.theregister.com/on-prem/2022/05/10/virginians-sue-to-block-rural-amazon-datacenter-construction/1542390;Culpeper Star-Exponent|https://starexponent.com/localbusinesses/article_7365c512-819b-11ef-a52e-3b0a2414e697.html;Baxtel facility page|https://baxtel.com/data-center/amazon-stevensburg
project-blue,Project Blue,"Beale Infrastructure / Blue Owl (AWS tenant, exited)","Tucson, AZ",AZ,32.05,-110.77,3.6,developer-announced,286,2025-08-06,delayed_then_built,,,,,,,,,,,4,high,"Tucson's council voted 7-0 on August 6, 2025 to rescind the planned annexation and development agreement, but the 290-acre site, county-owned land north of the Pima County Fairgrounds, was never inside the city, and the developer's June 2025 purchase agreement with Pima County predated the vote. Beale waived the annexation and city-water closing conditions, supervisors approved a revised deal 3-2 in December 2025, the sale closed December 24, 2025, and construction began April 24, 2026 under county-only approvals with state-permitted groundwater, reportedly scaled back and with Amazon stepping away as end user. The project never moved. The vote removed the city from the deal, along with its development agreement, reclaimed-water arrangement, and tax share. An opponents' lawsuit challenging the approval process was dismissed in April 2026.",Pima County Project Blue FAQ|https://www.pima.gov/3552/Project-Blue-FAQ;Tucson Sentinel (council vote)|https://www.tucsonsentinel.com/local/report/080625_project_blue/;KOLD (county approval)|https://www.kold.com/2025/12/16/pima-county-votes-move-forward-with-project-blue/;AZPM (lawsuit dismissed)|https://news.azpm.org/p/azpmnews/2026/4/13/229275-pima-county-judge-tosses-lawsuit-over-project-blue-data-center-rezoning/;AZPM (water meter revoked)|https://news.azpm.org/p/azpmnews/2026/5/6/229644-project-blue-developers-improperly-used-tucson-water-city-has-shut-it-off/;AZPM (wells approved)|https://news.azpm.org/p/environmentnews/2026/5/28/229919-arizona-water-officials-approve-wells-tied-to-project-blue-data-center/
tract-project-range,Project Range,Tract,"Goodyear/Buckeye area (Maricopa County), AZ",AZ,33.43,-112.5,14,developer-announced,,2024-05-02,rerouted,"Buckeye (Buckeye Municipal Airport area), AZ",33.42,-112.7,true,,,,,,,4,high,"Tract withdrew its $14B, roughly 1,000-acre Project Range rezoning in unincorporated Maricopa County in May 2024 after objections from Goodyear and Buckeye; in August 2024 it closed on a 2,069-acre replacement site near Buckeye Municipal Airport, a $20B, up-to-1.8GW park backed by Buckeye's mayor. Utility planning and early infrastructure preparation were reported progressing into 2026. Neither the county planning commission nor the Board of Supervisors ever voted on the original applications, which a county spokesperson confirmed were withdrawn and closed.",The Real Deal|https://therealdeal.com/national/phoenix/2024/05/02/tract-drops-14b-plan-to-build-data-centers-outside-phoenix/;Tract press release (GlobeNewswire)|https://www.globenewswire.com/news-release/2024/08/28/2937145/0/en/Tract-Closes-Acquisition-of-2-069-acres-in-Buckeye-Arizona.html;AZFamily|https://www.azfamily.com/2024/08/30/developer-wants-power-future-ai-buckeye-with-new-data-center/;AZ Big Media|https://azbigmedia.com/real-estate/2069-acre-parcel-will-become-a20-billion-data-center-park-in-buckeye/
franklin-township-google,Franklin Township campus (Project Flo),Google,"Franklin Township (Indianapolis), IN",IN,39.66,-86.02,1,developer-announced,,2025-09-22,died,,,,,,,,,,,,high,"Google pulled its 468-acre rezoning minutes before the Indianapolis City-County Council vote on Sept 22, 2025, and formally withdrew Oct 1 after months of opposition over farmland, secrecy, and water/power; the confirmed initial investment was about $1B. As of August 2026 it has not refiled. The City-County Council voted 23-1 on August 10, 2026 to pause new data-center approvals in Marion County through the end of 2027, with final commission action scheduled for August 19, superseding the special-use zoning class it had been advancing.","WFYI - Google backs down from proposed data center|https://www.wfyi.org/wfyi-news/2025-09-22/indianapolis-council-google-data-center-vote-withdrawl;IBJ - Google officially withdraws plans|https://www.ibj.com/articles/google-formally-withdraws-plans-for-data-center-campus-in-franklin-township;InkFreeNews - Google confirms it is behind $1B Indiana data center|https://www.inkfreenews.com/2025/08/21/google-confirms-it-is-behind-1b-indiana-data-center/;WFYI - Data center rules proposal clears initial vote (July 1, 2026)|https://www.wfyi.org/wfyi-news/2026-07-01/data-center-rules-proposal-clears-initial-vote-in-indianapolis;DCD - Google withdraws rezoning proposal for 468-acre project|https://www.datacenterdynamics.com/en/news/google-withdraws-rezoning-proposal-for-468-acre-data-center-project-in-franklin-township-indianapolis/;WFYI - Indy council advances pause on data centers (Aug 10, 2026)|https://www.wfyi.org/wfyi-news/2026-08-10/indy-council-advances-pause-on-data-centers-sends-to-commission-for-final-approval"
valparaiso-agincourt,Agincourt project,Agincourt,"Valparaiso, IN",IN,41.4731,-87.0611,,,,2025-03-11,died,,,,,,,,,,,,high,"Mayor Jon Costas announced March 11, 2025 that Agincourt had agreed to withdraw and release its land option after residents objected over water, power, noise, and property values; no formal plans were ever filed. No relocation or revival has been documented as of August 2026.",Lakeshore Public Media - Valpo pulls plug on data center proposal|https://www.lakeshorepublicmedia.org/local-news/2025-03-11/valpo-pulls-plug-on-data-center-proposal-following-public-opposition;GovTech - Valparaiso mayor says data center dead after outcry|https://www.govtech.com/products/valparaiso-ind-mayor-says-data-center-dead-after-outcry;DCD - Valparaiso pulls the plug on Agincourt data center project|https://www.datacenterdynamics.com/en/news/indianas-city-of-valparaiso-pulls-the-plug-on-agincourt-data-center-project/
pike-township-american-tower,Pike Township edge data center,American Tower,"Pike Township (Indianapolis), IN",IN,39.87,-86.26,,,4,2026-02-02,pending_litigating,,,,,,,,,,,,high,"American Tower withdrew its rezoning petition for a 20,000 sq ft, roughly 4MW edge facility on Feb 2, 2026 amid neighborhood opposition, saying it would prefer to revisit the project after Indianapolis finishes its data-center zoning revisions. The new SU-47 special-use district cleared the Metropolitan Development Commission 5-3 on July 1, 2026, but the City-County Council instead voted 23-1 on August 10, 2026 to pause new data-center approvals in Marion County through the end of 2027, with final commission action scheduled for August 19, so the project is paused at least through 2027 rather than clearly abandoned.","Mirror Indy - Pike Township residents win data center fight for now|https://mirrorindy.org/pike-township-data-center-petition-withdrawn/;Axios Indianapolis - Pike Township data center stalls (Feb 4, 2026)|https://www.axios.com/local/indianapolis/2026/02/04/pike-township-data-center-stalls-indiana-lawmakers-incentivize;DCD - American Tower pauses plans for Edge data center in Indianapolis|https://www.datacenterdynamics.com/en/news/american-tower-pauses-plans-for-edge-data-center-in-indianapolis-indiana/;WFYI - Data center rules proposal clears initial vote (July 1, 2026)|https://www.wfyi.org/wfyi-news/2026-07-01/data-center-rules-proposal-clears-initial-vote-in-indianapolis;WFYI - Indy council advances pause on data centers (Aug 10, 2026)|https://www.wfyi.org/wfyi-news/2026-08-10/indy-council-advances-pause-on-data-centers-sends-to-commission-for-final-approval"
peculiar-diode,Peculiar campus (Harper Road Technology Park),Diode Ventures,"Peculiar (Cass County), MO",MO,38.7195,-94.4586,1.5,developer-announced,,2024-10-17,died,,,,,,,,,,,,high,"Peculiar blocked Diode Ventures' $1.5B, 508-acre Harper Road Technology Park by deleting data centers from its zoning ordinance, effective Oct 17, 2024, after the 'Don't Dump Data in Peculiar' opposition campaign. No relocation of this specific project has been documented, though Diode continues separate Kansas City-area campuses it was already pursuing.","DCD - Peculiar officials remove data centers from ordinance, blocking $1.5bn Diode project|https://www.datacenterdynamics.com/en/news/peculiar-officials-in-missouri-remove-data-centers-from-ordinance-blocking-15bn-diode-project/;KSHB - Peculiar reverses zoning for data center after cries from neighbors|https://www.kshb.com/news/local-news/peculiar-reverses-zoning-for-data-center-after-cries-from-neighbors;DCD - Diode Ventures develops another 220MW+ campus next to Meta's Kansas City site|https://www.datacenterdynamics.com/en/news/diode-ventures-looks-to-develop-another-220mw-campus-next-to-metas-kansas-city-site/"
kc-quality-hill,Quality Hill downtown data center,Revitalization Unlimited,"Kansas City, MO",MO,39.102,-94.59,,,,2026-08-05,pending_litigating,,,,,,,,,,,,high,"The City Plan Commission voted August 5, 2026 to deny the 20-story tower at 10th and Central after 475 opposition letters and none in support; the denial is a recommendation, and Miami-based Revitalization Unlimited can still ask City Council to override it. The developer has said only that it will take things one step at a time, and Mayor Lucas called a reversal highly unlikely.",KSHB 41 Kansas City|https://www.kshb.com/news/local-news/missouri/kansas-city/kcmo-city-plan-commission-votes-to-deny-application-for-proposed-downtown-data-center;KCTV5|https://www.kctv5.com/2026/08/05/kansas-city-plan-commission-blocks-data-center-plan-historic-quality-hill-site/;KCUR|https://www.kcur.org/politics-elections-and-government/2026-07-22/kansas-city-downtown-data-center-western-newspaper-union-quality-hill-20-story
oldham-county-whp,Oldham County campus (Project Lincoln),Western Hospitality Partners,"Oldham County, KY",KY,38.407,-85.379,6,developer-announced,600,2025-07-01,died,,,,,,,,,,,,high,"WHP scrapped its original $6B/600MW Highway 53 proposal in June 2025 in favor of a smaller $1.5B/100MW plan at the Sauerbeck drive-in site, then withdrew that too on July 3, 2025, two days after the fiscal court passed a 150-day moratorium (July 1, 2025) that stripped an exemption for WHP's pending application, saying the project will not proceed. Anti-data-center candidates prevailed in the 2026 county primaries and permanent county regulations went from planning and zoning to the fiscal court June 23, 2026; no relocation of the project is documented.",Louisville Public Media|https://www.lpm.org/news/2025-07-02/oldham-county-passes-sweeping-data-center-moratorium-executive-fired-over-recording;WAVE 3 News|https://www.wave3.com/2025/07/03/plans-oldham-county-data-center-project-withdrawn/;Data Center Dynamics|https://www.datacenterdynamics.com/en/news/kentuckys-oldham-county-passes-150-day-data-center-moratorium/;Louisville Public Media (June 2026 primaries)|https://www.lpm.org/news/2026-06-08/the-fight-over-data-centers-was-front-and-center-in-local-kentucky-primary-elections;Oldham Era|https://www.pmg-ky1.com/oldham_era/news/p-z-sends-revised-data-center-regulations-to-fiscal-court/article_9f7dc88d-b0bd-5af9-8b1d-2777c748ee73.html
caledonia-microsoft,Caledonia site (Project Nova),Microsoft,"Caledonia (Racine County), WI",WI,42.824,-87.876,,,,2025-10-08,died,,,,,,,,,,,,high,"Microsoft abandoned the 244-acre Project Nova site on October 8, 2025, days after plan-commission approval, citing community feedback, and said it would work with Caledonia and Racine County to identify an alternate site; no replacement site had been announced as of August 2026. Microsoft's separate Mount Pleasant expansion of more than $13B approved January 2026 continues, but no source documents it as a relocation of this project.",Wisconsin Public Radio|https://www.wpr.org/news/microsoft-caledonia-data-center-site-ozaukee-county;TMJ4|https://www.tmj4.com/news/racine-county/microsoft-pulls-plug-on-plans-for-244-acre-data-center-in-caledonia-after-community-pushback;Data Center Dynamics|https://www.datacenterdynamics.com/en/news/microsoft-cancels-plans-for-data-center-caledonia-wisconsin/;ConstructConnect (pre-cancellation approval)|https://news.constructconnect.com/microsofts-third-wisconsin-data-center-project-plan-advances-in-racine-county;CNBC (Mount Pleasant expansion)|https://www.cnbc.com/2026/01/26/microsoft-wins-approval-for-15-data-centers-at-wisconsin-foxconn-site.html
port-washington-lighthouse,Lighthouse (Stargate) campus,Vantage Data Centers / Cloverleaf (OpenAI/Oracle anchor),"Port Washington (Ozaukee County), WI",WI,43.387,-87.876,15,developer-announced,1300,2026-04-07,delayed_then_built,,,,,,,,,,,,high,"Construction began with a December 2025 groundbreaking and was underway through mid-2026 despite protests, a failed mayoral recall effort, and the April 7, 2026 referendum (66%), which constrains only future incentives over $10M and not the existing $458M TID. Three suits were active as of July 2026 (Sierra Club/MEA v. DNR over the skipped environmental impact statement, business groups over the TID-referendum ordinance, Oracle v. PSC over financial rules); none has halted construction, though on August 6, 2026 the PSC ruled ATC's transmission-line application incomplete, restarting that separate approval process.",BizTimes Milwaukee (groundbreaking)|https://biztimes.com/groundbreaking-held-as-construction-begins-on-15b-port-washington-data-center/;Wisconsin Public Radio (DNR lawsuit)|https://www.wpr.org/news/lawsuit-wisconsin-dnr-environmental-review-port-washington-data-centers;Sierra Club press release|https://www.sierraclub.org/press-releases/2026/07/sierra-club-wisconsin-and-mea-file-lawsuit-after-state-regulators-abandon;GMToday (TID ordinance lawsuit)|https://www.gmtoday.com/news_graphic/business/proposed-tid-referendum-port-washington/article_222578b6-7bd1-5931-bcdf-1f270b0df00a.html;The Daily Reporter (Oracle v. PSC)|https://dailyreporter.com/2026/06/24/oracle-sues-wisconsin-public-service-commission-data-center-rules/
farmington-tract,Farmington campus (708MW),Tract,"Farmington (Dakota County), MN",MN,44.6402,-93.1436,5,developer-announced,708,2024-11-29,pending_litigating,,,,,,,,,,,,high,"The city approved the 12-building, 2.5M sq ft campus, but two lawsuits remain active (the resident coalition's, filed Nov 29, 2024, and neighboring Castle Rock Township's); a Nov 13, 2025 ruling denied the city's motion to dismiss the township's suit, with trial expected summer to fall 2026, though the court earlier denied the township's request for a temporary injunction. No construction and no resolution as of Aug 2026.",GovTech (Star Tribune reprint) - Farmington residents sue to stop data center park|https://www.govtech.com/infrastructure/farmington-minn-residents-sue-to-stop-data-center-park;Coalition for Responsible Data Center Development - timeline and project specs|https://www.datacenterresponsibility.com/whatishappening;Sun Thisweek/hometownsource - Judge denies Farmington's motion to dismiss lawsuit (Perzel ruling)|https://www.hometownsource.com/sun_thisweek/community/dakota_county/judge-denies-farmingtons-motion-to-dismiss-lawsuit/article_54651c1e-c9af-4516-9409-6eaf4c0c83a7.html;Sun Thisweek/hometownsource (Apr 2026) - Tract speaks about updated Farmington Technology Park|https://www.hometownsource.com/sun_thisweek/community/dakota_county/tract-speaks-about-updated-farmington-technology-park/article_43acd923-b4d8-42ee-a192-b34612835e02.html;MinnPost (July 2026) - Minnesota courts pausing data centers|https://www.minnpost.com/greater-minnesota/2026/07/in-pausing-data-centers-minnesota-courts-did-what-local-officials-wouldnt/
faribault-dc,Faribault data center,Archer Datacenters,"Faribault (Rice County), MN",MN,44.295,-93.2688,,,,2026-06-08,pending_litigating,,,,,,,,,,,,high,"The Minnesota Court of Appeals ruled June 8, 2026 that Faribault's environmental review of Archer Datacenters' 500,000 sq ft project violated state law, halting the project pending a fuller review. The city council extended Archer's deadline to submit additional environmental information into 2027, leaving the project on hold as of Aug 2026.","Minnesota Center for Environmental Advocacy - legal updates on data center cases|https://www.mncenter.org/legal-updates-mceas-data-center-cases;Mankato Free Press (MinnPost) - courts pausing data centers, Faribault status|https://www.mankatofreepress.com/news/state_national_news/in-pausing-data-centers-minnesota-courts-did-what-local-officials-wouldn-t/article_29717f29-ce24-45ee-9a51-7ec8b027cae6.html;Goldberg Segalla - Minnesota Court of Appeals pauses hyperscale data center|https://www.goldbergsegalla.com/blog/environmental-law-monitor/appellate-court/minnesota-court-of-appeals-pauses-construction-of-hyperscale-data-center/;Minnesota Lawyer - Court of Appeals: Faribault data center review inadequate|https://minnlawyer.com/2026/06/08/court-of-appeals-faribault-data-center-review-inadequate/"
